SOC,Data_Point,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
0.34,75750.92307692308,83463.7550860865,337.18493971859345,7.013986013986014,10.020979020979022,0.006811454579546735,3.6223193698829705,0.3440316180797867,1.6640230589996734,1.3049948961291886,5.84725863888478,-1.3827733468375057e-05,0.0,0.0,0.0,0.0
0.35,75560.5,83271.38331165707,338.50490498854595,7.0,10.0,-0.00017202404183401187,3.6233327187282938,0.35178466656447593,1.6517829852969548,1.3353803236201132,5.806446803856977,-1.0481397393831826e-05,0.0,0.0,0.0,0.0
0.36,75368.58041958042,83077.51078587878,338.324118652535,6.986013986013986,9.979020979020978,-0.007155391719791439,3.6245587488988065,0.35933461359136026,1.639328696840783,1.364997325864377,5.764876864637484,-7.4653246381378675e-06,0.0,0.0,0.0,0.0
0.37,75560.0,83270.91353793984,338.0351311339545,7.0,10.0,-0.00012517101328137894,3.6296108407034002,0.3717129657071195,1.6317165467366221,1.4128871975351254,5.738952158688429,-1.1394917621633077e-05,0.0,0.0,0.0,0.0
0.38,75752.91608391609,83465.77054597379,339.20039962693875,7.013986013986014,10.020979020979022,0.006861749228897629,3.634892103555319,0.3842873399586303,1.624315544419551,1.461565084510237,5.713697195957086,-1.382598797631958e-05,0.0,0.0,0.0,0.0
0.39,75367.08391608391,83075.9655340113,336.77886679425694,6.986013986013986,9.979020979020978,-0.007116411532555426,3.6353420160867116,0.38912307193852735,1.6091028656666848,1.4809643028572148,5.663019380829745,-2.3565491853962438e-05,0.0,0.0,0.0,0.0
0.4,75560.0,83270.8222035941,337.94379681073644,7.0,10.0,-0.00011250964352782344,3.643018514337674,0.401699331751339,1.6016982555183337,1.5297029770527857,5.637635350976355,-6.801890853700608e-05,0.0,0.0,0.0,0.0
0.41,75564.85238955266,83275.4247718329,3570.455940798909,7.9903445401500415,9.502361767157543,6.784767401022989e-05,3.6315202146942465,0.41598013157344815,1.5935923335660298,1.5854176315429902,5.610129651660937,-1.7361730405875372e-06,0.0,0.0,0.0,0.0
0.42,75561.0,83271.2379445126,338.3604688336382,7.0,10.0,-0.00011630671125062755,3.639479422233474,0.421722262575776,1.5817863155246203,1.6077602640095066,5.570212856074176,0.00013148402536950323,0.0,0.0,0.0,0.0
0.43,75561.0,83271.24949100832,338.372015316014,7.0,10.0,-0.00011197891500261094,3.6471316085921393,0.43174948065703483,1.571759381778462,1.6468890135962029,5.5362657896347365,1.6168534885865585e-05,0.0,0.0,0.0,0.0
0.44,75561.0,83271.25079594072,338.3733202435253,7.0,10.0,-0.0001061810574061434,3.6515460853845303,0.4417750468479235,1.5617325621669031,1.6860824848605267,5.502280703263711,2.528014487273742e-06,0.0,0.0,0.0,0.0
0.45,75561.0,83271.27145918278,338.3939834899446,7.0,10.0,-0.00011757351982761436,3.655724271922044,0.4517329940488595,1.5517770668384865,1.725057160044704,5.468498306430853,1.8218024834682246e-06,0.0,0.0,0.0,0.0
0.46,75314.25874125875,83022.03022902254,338.22938126716025,6.986013986013986,9.972027972027972,-0.007105097070440546,3.658190268736619,0.45857655700776456,1.5386366558548812,1.7522183555433768,5.424247605728116,2.9492288236864483e-06,0.0,0.0,0.0,0.0
0.47,75807.74125874125,83520.6192402289,338.66513660865166,7.013986013986014,10.027972027972028,0.006871808658946644,3.666345432921723,0.47491107777999175,1.5349194230748484,1.8155738094617935,5.4107893956174795,-2.2081523918761656e-07,0.0,0.0,0.0,0.0
0.48,75561.0,83271.36738121127,338.4899055289183,7.0,10.0,-9.85814651972811e-05,3.6694788781689924,0.48175700713578523,1.5217732511351687,1.842834767676844,5.366427796989472,-3.0293331676635e-06,0.0,0.0,0.0,0.0
0.49,75312.76223776223,83020.57718651112,336.77633876089556,6.986013986013986,9.972027972027972,-0.0071164152838967066,3.6731904970182407,0.4883949321270123,1.5084084279092782,1.8693267285809791,5.32126444560579,-1.2879662911352292e-05,0.0,0.0,0.0,0.0
0.5,75809.23776223777,83522.15745288716,340.203349275312,7.013986013986014,10.027972027972028,0.006893181300663448,3.683680230920965,0.5051477432139702,1.5051028048679895,1.9344724873797756,5.309035201062765,-4.379714977454518e-05,0.0,0.0,0.0,0.0
0.51,75561.0,83271.39955500128,3570.330334925622,7.989998610918183,9.501944714543686,-1.382196027382428e-06,3.669444248169259,0.5158856136888942,1.4935539744693829,1.977251104619048,5.26992396004231,-2.7557412102578156e-06,0.0,0.0,0.0,0.0
0.52,75561.0,83271.41587112917,338.5422807593903,7.0,10.0,-0.0001466979443187445,3.680962342611501,0.5218220923004622,1.481711802327092,2.0005728650747883,5.229389653912386,0.00018657540954656826,0.0,0.0,0.0,0.0
0.53,75561.0,83271.45184701776,338.5782566254281,7.0,10.0,-0.00013150463641529352,3.6926455413791497,0.5317966000075599,1.471745257408306,2.0399398980713204,5.195220728340672,4.061352654030665e-05,0.0,0.0,0.0,0.0
0.54,75561.0,83271.45183260008,338.578242221274,7.0,10.0,-0.00014036641993992764,3.7001813532600942,0.5417595916165757,1.4617778262336936,2.0793847171268025,5.160994327175674,1.9602018550307242e-05,0.0,0.0,0.0,0.0
